. /Users/fschuhi/Projects/a2-lode-runner/.venv/bin/activate && PYTHONPATH=/Users/fschuhi/Projects/a2-lode-runner python scripts/level_extractor.py check reference/lode_runner_reveng/disk
Level   1 (track $03, sector $0): 1 player, 3 guards, 6 gold, 4 exit-ladder cells
Level   2 (track $03, sector $1): 1 player, 3 guards, 8 gold, 2 exit-ladder cells
Level   3 (track $03, sector $2): 1 player, 3 guards, 7 gold, 3 exit-ladder cells
Level   4 (track $03, sector $3): 1 player, 3 guards, 14 gold, 2 exit-ladder cells
Level   5 (track $03, sector $4): 1 player, 4 guards, 7 gold, 8 exit-ladder cells
Level   6 (track $03, sector $5): 1 player, 5 guards, 16 gold, 3 exit-ladder cells
Level   7 (track $03, sector $6): 1 player, 4 guards, 8 gold, 3 exit-ladder cells
Level   8 (track $03, sector $7): 1 player, 6 guards, 7 gold, 18 exit-ladder cells
    problem: 6 guards, expected 1 to 5
Level   9 (track $03, sector $8): 1 player, 5 guards, 4 gold, 2 exit-ladder cells
Level  10 (track $03, sector $9): 1 player, 2 guards, 10 gold, 7 exit-ladder cells
Level  11 (track $03, sector $A): 1 player, 4 guards, 15 gold, 1 exit-ladder cells
Level  12 (track $03, sector $B): 1 player, 3 guards, 14 gold, 0 exit-ladder cells
Level  13 (track $03, sector $C): 1 player, 4 guards, 13 gold, 14 exit-ladder cells
Level  14 (track $03, sector $D): 1 player, 3 guards, 12 gold, 0 exit-ladder cells
Level  15 (track $03, sector $E): 1 player, 4 guards, 23 gold, 11 exit-ladder cells
Level  16 (track $03, sector $F): 1 player, 2 guards, 11 gold, 15 exit-ladder cells
Level  17 (track $04, sector $0): 1 player, 3 guards, 10 gold, 6 exit-ladder cells
Level  18 (track $04, sector $1): 1 player, 3 guards, 9 gold, 2 exit-ladder cells
Level  19 (track $04, sector $2): 1 player, 4 guards, 18 gold, 0 exit-ladder cells
Level  20 (track $04, sector $3): 1 player, 4 guards, 15 gold, 0 exit-ladder cells
Level  21 (track $04, sector $4): 1 player, 3 guards, 13 gold, 5 exit-ladder cells
Level  22 (track $04, sector $5): 1 player, 3 guards, 20 gold, 0 exit-ladder cells
Level  23 (track $04, sector $6): 1 player, 3 guards, 16 gold, 4 exit-ladder cells
Level  24 (track $04, sector $7): 1 player, 3 guards, 11 gold, 10 exit-ladder cells
Level  25 (track $04, sector $8): 1 player, 2 guards, 10 gold, 4 exit-ladder cells
Level  26 (track $04, sector $9): 1 player, 3 guards, 11 gold, 3 exit-ladder cells
Level  27 (track $04, sector $A): 1 player, 4 guards, 20 gold, 16 exit-ladder cells
Level  28 (track $04, sector $B): 1 player, 3 guards, 12 gold, 3 exit-ladder cells
Level  29 (track $04, sector $C): 1 player, 3 guards, 12 gold, 0 exit-ladder cells
Level  30 (track $04, sector $D): 1 player, 5 guards, 18 gold, 2 exit-ladder cells
Level  31 (track $04, sector $E): 1 player, 3 guards, 7 gold, 5 exit-ladder cells
Level  32 (track $04, sector $F): 1 player, 2 guards, 16 gold, 2 exit-ladder cells
Level  33 (track $05, sector $0): 1 player, 3 guards, 9 gold, 7 exit-ladder cells
Level  34 (track $05, sector $1): 1 player, 4 guards, 30 gold, 0 exit-ladder cells
Level  35 (track $05, sector $2): 1 player, 4 guards, 24 gold, 6 exit-ladder cells
Level  36 (track $05, sector $3): 1 player, 3 guards, 14 gold, 0 exit-ladder cells
Level  37 (track $05, sector $4): 1 player, 3 guards, 10 gold, 3 exit-ladder cells
